斤,jīn,"catty/(PRC) weight equal to 500 g/(Tw) weight equal to 600 g/(HK, Malaysia, Singapore) slightly over 604 g",level3
到,dào,to (a place)/until (a time)/up to/to go/to arrive/(verb complement denoting completion or result of an action),level4
见到,jiàndào,to see,level4
来到,láidào,to come/to arrive,level4
不到,bùdào,not to arrive/not reaching/insufficient/less than,level4
到来,dàolái,to arrive/arrival/advent,level4
到时,dàoshí,at that (future) time,level4
牛,niú,"surname Niu
ox/cow/bull/CL:條|条[tiao2],頭|头[tou2]/(slang) awesome",level4
去,qù,to go/to go to (a place)/(of a time etc) last/just passed/to send/to remove/to get rid of/to reduce/to be apart from in space or time/to die (euphemism)/to play (a part)/(when used either before or after a verb) to go in order to do sth/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation),level4
上去,shàngqù,to go up,level4
说,shuō,"to persuade
to speak/to say/to explain/to scold/to tell off/a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)",level4
小说,xiǎoshuō,"novel/fiction/CL:本[ben3],部[bu4]",level4
中国,zhōngguó,China,level4
我国,wǒguó,our country/China,level4
国小,guóxiǎo,elementary school (Taiwan)/abbr. for 國民小學|国民小学[guo2 min2 xiao3 xue2],level4
中国人,zhōngguórén,Chinese person,level4
国中,guózhōng,junior high school (Taiwan)/abbr. for 國民中學|国民中学[guo2 min2 zhong1 xue2],level4
国人,guórén,compatriots (literary)/fellow countrymen,level4
国立,guólì,national/state-run/public,level4
国王,guówáng,king/CL:個|个[ge4],level4
国土,guótǔ,country's territory/national land,level4
王国,wángguó,kingdom/realm,level4
国有,guóyǒu,nationalized/public/government owned/state-owned,level4
于,yú,"surname Yu
to go/to take/sentence-final interrogative particle/variant of 於|于[yu2]
in/at/to/from/by/than/out of",level4
至于,zhìyú,as for/as to/to go so far as to,level4
于是,yúshì,thereupon/as a result/consequently/thus/hence,level4
在于,zàiyú,to be in/to lie in/to consist in/to depend on/to rest with,level4
以至于,yǐzhìyú,down to/up to/to the extent that...,level4
立,lì,"surname Li
to stand/to set up/to establish/to lay down/to draw up/at once/immediately",level4
中立,zhōnglì,neutral,level4
立足,lìzú,to stand/to have a footing/to be established/to base oneself on,level4
和,hé,"old variant of 和[he2]
surname He/Japanese (food, clothes etc)
and/together with/with/sum/union/peace/harmony/Taiwan pr. [han4] when it means ""and"" or ""with""
to compose a poem in reply (to sb's poem) using the same rhyme sequence/to join in the singing/to chime in with others
to complete a set in mahjong or playing cards
to combine a powdery substance (flour, plaster etc) with water/Taiwan pr. [huo4]
to mix (ingredients) together/to blend/classifier for rinses of clothes/classifier for boilings of medicinal herbs
old variant of 和[he2]/harmonious",level4
地,dì,"-ly/structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct
earth/ground/field/place/land/CL:片[pian4]",level4
土地,tǔdì,"land/soil/territory/CL:片[pian4],塊|块[kuai4]
local god/genius loci",level4
大地,dàdì,earth/mother earth,level4
目的地,mùdedì,destination (location),level4
见,jiàn,"to see/to meet/to appear (to be sth)/to interview
to appear/also written 現|现[xian4]",level4
可见,kějiàn,it can clearly be seen (that this is the case)/it is (thus) clear/clear/visible,level4
工人,gōngrén,"worker/CL:個|个[ge4],名[ming2]",level4
人工,réngōng,artificial/manpower/manual work,level4
手工,shǒugōng,handwork/manual,level4
羊,yáng,"surname Yang
sheep/goat/CL:頭|头[tou2],隻|只[zhi1]",level4
至,zhì,to arrive/most/to/until,level4
以至,yǐzhì,down to/up to/to such an extent as to .../also written 以至於|以至于[yi3 zhi4 yu2],level4
而,ér,and/as well as/and so/but (not)/yet (not)/(indicates causal relation)/(indicates change of state)/(indicates contrast),level4
而是,érshì,rather,level4
时而,shíér,occasionally/from time to time,level4
其,qí,his/her/its/their/that/such/it (refers to sth preceding it),level4
其他,qítā,other/(sth or sb) else/the rest,level4
其中,qízhōng,among/in/included among these,level4
小时,xiǎoshí,hour/CL:個|个[ge4],level4
有时,yǒushí,sometimes/now and then,level4
时,shí,"old variant of 時|时[shi2]
surname Shi
o'clock/time/when/hour/season/period",level4
不时,bùshí,from time to time/now and then/occasionally/frequently,level4
时时,shíshí,often/constantly,level4
时日,shírì,time/auspicious time/time and date/long period of time/this day,level4
几,jī,"small table
almost
how much/how many/several/a few",level4
者,zhě,"(after a verb or adjective) one who (is) .../(after a noun) person involved in .../-er/-ist/(used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously)/(used after a term, to mark a pause before defining the term)/(old) (used at the end of a command)/(old) this",level4
广,guǎng,"surname Guang
wide/numerous/to spread",level4
广大,guǎngdà,(of an area) vast or extensive/large-scale/widespread/(of people) numerous,level4
牟,móu,"surname Mou
see 牟平[Mu4 ping2]
barley/to moo/to seek or obtain/old variant of 侔[mou2]/old variant of 眸[mou2]",level4
出,chū,"to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to happen/(used after a verb to indicate an outward direction or a positive result)/classifier for dramas, plays, operas etc
variant of 出[chu1] (classifier for plays or chapters of classical novels)",level5
出来,chūlái,"to come out/to appear/to arise
(after a verb, indicates coming out, completion of an action, or ability to discern or detect)",level5
出去,chūqù,to go out,level5
出国,chūguó,to go abroad/to leave the country/emigration,level5
出生,chūshēng,to be born,level5
出口,chūkǒu,an exit/CL:個|个[ge4]/to speak/to export/(of a ship) to leave port,level5
出门,chūmén,to go out/to leave home/to go on a journey/away from home/(of a woman) to get married,level5
说出,shuōchū,to speak out/to declare (one's view),level5
出土,chūtǔ,to dig up/to appear in an excavation/unearthed/to come up out of the ground,level5
出自,chūzì,to come from,level5
日出,rìchū,sunrise,level5
出于,chūyú,due to/to stem from,level5
出示,chūshì,to show/to take out and show to others/to display,level5
地方,dìfāng,"region/regional (away from the central administration)/local
area/place/space/room/territory/CL:處|处[chu4],個|个[ge4],塊|块[kuai4]",level5
西方,xīfāng,the West/the Occident/Western countries,level5
方,fāng,"surname Fang
square/power or involution (mathematics)/upright/honest/fair and square/direction/side/party (to a contract, dispute etc)/place/method/prescription (medicine)/just when/only or just/classifier for square things/abbr. for square or cubic meter",level5
西方人,xīfāngrén,Westerner/Occidental,level5
方才,fāngcái,just now/then,level5
下方,xiàfāng,underneath/below/the underside/world of mortals/to descend to the world of mortals (of Gods),level5
大方,dàfāng,"expert/scholar/mother earth/a type of green tea
generous/magnanimous/stylish/in good taste/easy-mannered/natural and relaxed",level5
方言,fāngyán,"the first Chinese dialect dictionary, edited by Yang Xiong 揚雄|扬雄[Yang2 Xiong2] in 1st century, containing over 9000 characters
topolect/dialect",level5
立方,lìfāng,cube (math.)/abbr. for 立方體|立方体[li4 fang1 ti3]/abbr. for 立方米[li4 fang1 mi3],level5
道,dào,"road/path/CL:條|条[tiao2],股[gu3]/principle/truth/morality/reason/skill/method/Dao (of Daoism)/to say/to speak/to talk/classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process/(old) administrative division (similar to province in Tang times)",level5
说道,shuōdào,"to state/to say (the quoted words)
to discuss/reason (behind sth)",level5
大道,dàdào,main street/avenue,level5
人道,réndào,"human sympathy/humanitarianism/humane/the ""human way"", one of the stages in the cycle of reincarnation (Buddhism)/sexual intercourse",level5
下水道,xiàshuǐdào,sewer,level5
地道,dìdào,"tunnel/causeway
authentic/genuine/typical/from a place known for the product/thorough/conscientious",level5
车,chē,"surname Che
car/vehicle/CL:輛|辆[liang4]/machine/to shape with a lathe
war chariot (archaic)/rook (in Chinese chess)/rook (in chess)",level5
车子,chēzǐ,"car or other vehicle (bicycle, truck etc)",level5
火车,huǒchē,"train/CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]",level5
下车,xiàchē,"to get off or out of (a bus, train, car etc)",level5
天,tiān,day/sky/heaven,level5
天下,tiānxià,land under heaven/the whole world/the whole of China/realm/rule,level5
天天,tiāntiān,every day,level5
天生,tiānshēng,nature/disposition/innate/natural,level5
天文,tiānwén,astronomy,level5
天才,tiāncái,talent/gift/genius/talented/gifted,level5
上天,shàngtiān,Heaven/Providence/God/the day before/the sky above/to fly to the sky/to take off and fly into space/to die/to pass away,level5
云,yún,"(classical) to say
surname Yun/abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 Sheng3]
cloud/CL:朵[duo3]",level5
白云,báiyún,"Baiyun district of Guiyang city 貴陽市|贵阳市[Gui4 yang2 shi4], Guizhou/Baiyun district of Guangzhou city 廣州市|广州市[Guang3 zhou1 shi4], Guangdong
white cloud",level5
要,yào,"to demand/to request/to coerce
important/vital/to want/to ask for/will/going to (as future auxiliary)/may/must/(used in a comparison) must be/probably/if",level5
不要,bùyào,don't!/must not,level5
要是,yàoshì,if,level5
要不,yàobù,otherwise/or else/how about...?/either... (or...),level5
下,xià,"down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)/measure word to show the frequency of an action",level5
之下,zhīxià,under/beneath/less than,level5
以下,yǐxià,that level or lower/that amount or less/the following,level5
下来,xiàlái,"to come down/(after verb of motion, indicates motion down and towards us, also fig.)/(indicates continuation from the past towards us)/to be harvested (of crops)/to be over (of a period of time)/to go among the masses (said of leaders)",level5
上下,shàngxià,up and down/top and bottom/old and new/length/about,level5
地下,dìxià,underground/subterranean/covert,level5
下去,xiàqù,to go down/to descend/to go on/to continue/(of a servant) to withdraw,level5
下手,xiàshǒu,to start/to put one's hand to/to set about/the seat to the right of the main guest,level5
一下,yīxià,(used after a verb) give it a go/to do (sth for a bit to give it a try)/one time/once/in a while/all of a sudden/all at once,level5
工厂,gōngchǎng,"factory/CL:家[jia1],座[zuo4]",level5
厂,chǎng,"""cliff"" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc
factory/yard/depot/workhouse/works/(industrial) plant",level5
巴西,bāxī,Brazil,level5
巴不得,bābùdé,(coll.) to be eager for/to long for/to look forward to,level5
西,xī,"the West/abbr. for Spain 西班牙[Xi1 ban1 ya2]/Spanish
west",level5
用,yòng,to use/to employ/to have to/to eat or drink/expense or outlay/usefulness/hence/therefore,level5
用来,yònglái,to be used for,level5
不用,bùyòng,need not,level5
用心,yòngxīn,motive/intention/to be diligent or attentive/careful,level5
有用,yǒuyòng,useful,level5
用以,yòngyǐ,in order to/so as to,level5
用力,yònglì,to exert oneself physically,level5
用人,yòngrén,servant/to employ sb for a job/to manage people/to be in need of staff,level5
你,nǐ,"you (informal, as opposed to courteous 您[nin2])",level5
你们,nǐmén,you (plural),level5
一旦,yīdàn,"in case (sth happens)/if/once (sth happens, then...)/when/in a short time/in one day",level5
就,jiù,at once/right away/only/just (emphasis)/as early as/already/as soon as/then/in that case/as many as/even if/to approach/to move towards/to undertake/to engage in/to suffer/subjected to/to accomplish/to take advantage of/to go with (of foods)/with regard to/concerning,level5
就是,jiùshì,(emphasizes that sth is precisely or exactly as stated)/precisely/exactly/even/if/just like/in the same way as,level5
就是说,jiùshìshuō,in other words/that is,level5
也就是说,yějiùshìshuō,in other words/that is to say/so/thus,level5
得,dé,"to obtain/to get/to gain/to catch (a disease)/proper/suitable/proud/contented/to allow/to permit/ready/finished
structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc
to have to/must/ought to/to need to",level5
不得,bùdé,must not/may not/not to be allowed/cannot,level5
得以,déyǐ,able to/so that sb can/enabling/in order to/finally in a position to/with sth in view,level5
不得不,bùdébù,have no choice or option but to/cannot but/have to/can't help it/can't avoid,level5
不见得,bùjiàndé,not necessarily/not likely,level5
心得,xīndé,"what one has learned (through experience, reading etc)/knowledge/insight/understanding/tips/CL:項|项[xiang4],個|个[ge4]",level5
来得,láidé,to emerge (from a comparison)/to come out as/to be competent or equal to,level5
不得了,bùdéle,desperately serious/disastrous/extremely/exceedingly,level5
得力,délì,able/capable/competent/efficient,level5
年,nián,"surname Nian
year/CL:個|个[ge4]
grain/harvest (old)/variant of 年[nian2]",level5
中年,zhōngnián,middle age,level5
去年,qùnián,last year,level5
犬,quǎn,dog,level5
那,nà,"surname Na
surname Nuo
variant of 哪[na3]
that/those/then (in that case)/commonly pr. [nei4] before a classifier, esp. in Beijing
(archaic) many/beautiful/how/old variant of 挪[nuo2]",level6
那里,nàlǐ,"there/that place/also written 那裡|那里
there/that place",level6
那儿,nàér,there,level6
自己,zìjǐ,oneself/one's own,level6
会,huì,"can/to be possible/to be able to/will/to be likely to/to be sure to/to assemble/to meet/to gather/to see/union/group/association/CL:個|个[ge4]/a moment (Taiwan pr. for this sense is [hui3])
to balance an account/accountancy/accounting",level6
不会,bùhuì,"improbable/unlikely/will not (act, happen etc)/not able/not having learned to do sth/(coll.) (Tw) don't mention it/not at all",level6
大会,dàhuì,"general assembly/general meeting/convention/CL:個|个[ge4],屆|届[jie4]",level6
工会,gōnghuì,labor union/trade union/CL:個|个[ge4],level6
国会,guóhuì,parliament/Congress/diet,level6
一会儿,yīhuìér,a moment/a while/in a moment/now...now.../also pr. [yi1 hui3 r5],level6
对,duì,right/correct/couple/pair/towards/at/for/to face/opposite/to treat (sb a certain way)/to match together/to adjust/to fit/to suit/to answer/to reply/classifier: couple,level6
对于,duìyú,regarding/as far as sth is concerned/with regards to,level6
对方,duìfāng,counterpart/other person involved/opposite side/other side/receiving party,level6
对手,duìshǒu,opponent/rival/competitor/(well-matched) adversary/match,level6
对立,duìlì,to oppose/to set sth against/to be antagonistic to/antithetical/relative opposite/opposing/diametrical,level6
此,cǐ,this/these,level6
此后,cǐhòu,after this/afterwards/hereafter,level6
就此,jiùcǐ,at this point/thus/from then on,level6
自此,zìcǐ,since then/henceforth,level6
之后,zhīhòu,afterwards/following/later/after,level6
以后,yǐhòu,after/later/afterwards/following/later on/in the future,level6
后,hòu,"surname Hou
empress/queen
back/behind/rear/afterwards/after/later",level6
日后,rìhòu,sometime/someday (in the future),level6
