位,position/location/place/seat/classifier for people (honorific)/classifier for binary bits (e.g. 十六位 16-bit or 2 bytes),位,,wèi,level16
信,letter/mail/CL:封[feng1]/to trust/to believe/to profess faith in/truthful/confidence/trust/at will/at random,信,,xìn,level16
故,"happening/instance/reason/cause/intentional/former/old/friend/therefore/hence/(of people) to die, dead",故,,gù,level16
声,sound/voice/tone/noise/classifier for sounds,聲,,shēng,level16
便,ordinary/plain/convenient/as convenient/when the chance arises/handy/easy/informal/simple/so/thus/to relieve oneself/to urinate/to defecate/equivalent to 就[jiu4]: then/in that case/even if/soon afterwards,便,,biàn,level16
气,gas/air/smell/weather/to make angry/to annoy/to get angry/vital energy/qi,氣,,qì,level16
桔,Platycodon grandiflorus,桔,,jú,level16
专,"for a particular person, occasion, purpose/focused on one thing/special/expert/particular (to sth)/concentrated/specialized",專,,zhuān,level17
任,surname Ren,任,,rèn,level17
处,to reside/to live/to dwell/to be in/to be situated at/to stay/to get along with/to be in a position of/to deal with/to discipline/to punish,處,,chǔ,level17
通,"to go through/to know well/(suffix) expert/to connect/to communicate/open/to clear/classifier for letters, telegrams, phone calls etc",通,,tōng,level17
歹,bad/wicked/evil,歹,,dǎi,level17
命,"life/fate/order or command/to assign a name, title etc",命,,mìng,level17
特,special/unique/distinguished/especially/unusual/very,特,,tè,level17
给,to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle),給,,gěi,level17
数,to count/to enumerate/to criticize (i.e. enumerate shortcomings),數,,shù,level17
海,surname Hai,海,,hǎi,level17
斯,Slovakia/Slovak/abbr. for 斯洛伐克[Si1 luo4 fa2 ke4],斯,,sī,level17
兵,soldiers/a force/an army/weapons/arms/military/warlike/CL:個|个[ge4],兵,,bīng,level17
表,wrist or pocket watch,錶,,biǎo,level17
受,to receive/to accept/to suffer/subjected to/to bear/to stand/pleasant/(passive marker),受,,shòu,level17
象,elephant/CL:隻|只[zhi1]/shape/form/appearance/to imitate,象,,xiàng,level17
万,surname Wan,萬,,wàn,level17
完,to finish/to be over/whole/complete/entire,完,,wán,level17
教,surname Jiao,教,,jiào,level17
解,surname Xie,解,,jiě,level17
百,surname Bai,百,,bǎi,level17
鼠,rat/mouse/CL:隻|只[zhi1],鼠,,shǔ,level17
求,to seek/to look for/to request/to demand/to beseech,求,,qiú,level18
德,Germany/German/abbr. for 德國|德国[De2 guo2],德,,dé,level18
七,seven/7,七,,qī,level18
建,to establish/to found/to set up/to build/to construct,建,,jiàn,level18
神,God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being/CL:個|个[ge4]/abbr. for 神舟[Shen2 zhou1],神,,shén,level18
死,to die/impassable/uncrossable/inflexible/rigid/extremely,死,,sǐ,level18
父,father,父,,fù,level18
亡,to die/to lose/to be gone/to flee/deceased,亡,,wáng,level18
打,dozen,打,,dǎ,level18
乃,to be/thus/so/therefore/then/only/thereupon,乃,,nǎi,level18
再,"again/once more/re-/second/another/then (after sth, and not until then)",再,,zài,level18
余,extra/surplus/remaining/remainder after division/(following numerical value) or more/in excess of (some number)/residue (math.)/after/I/me,餘,,yú,level18
别,"to make sb change their ways, opinions etc",彆,,bié,level18
色,color/CL:種|种[zhong3]/look/appearance/sex,色,,sè,level18
论,the Analects (of Confucius),論,,lùn,level18
听,"to listen/to hear/to obey/a can (loanword from English ""tin"")/classifier for canned beverages",聽,,tīng,level18
光,light/ray/CL:道[dao4]/bright/only/merely/to use up,光,,guāng,level18
路,surname Lu,路,,lù,level18
斗,"variant of 鬥|斗[dou4], to fight/to struggle/to condemn/to censure/to contend/to put together/coming together",鬭,,dǒu,level18
提,to carry (hanging down from the hand)/to lift/to put forward/to mention/to raise (an issue)/upwards character stroke/lifting brush stroke (in painting)/scoop for measuring liquid,提,,tí,level18
浏,clear/deep (of water)/swift,瀏,,liú,level18
却,but/yet/however/while/to go back/to decline/to retreat/nevertheless/even though,卻,,què,level19
总,always/to assemble/gather/total/overall/head/chief/general/in every case,總,,zǒng,level19
做,to do/to make/to produce/to write/to compose/to act as/to engage in/to hold (a party)/to be/to become/to function (in some capacity)/to serve as/to be used for/to form (a bond or relationship)/to pretend/to feign/to act a part/to put on appearance,做,,zuò,level19
